pk,wd,f1,n_hyp,n_ref,n,start_ep,end_ep,method,signal,dark
0.46153846153846156,0.46153846153846156,0.0,0,4,29,135,163,pelt-pen5,0.0,True
0.3902439024390244,0.3902439024390244,0.0,0,4,45,390,434,pelt-pen5,0.2,True
0.41025641025641024,0.41025641025641024,0.4,1,4,43,578,620,pelt-pen5,0.37209302325581395,True
0.4897959183673469,0.4897959183673469,0.0,0,4,55,623,677,pelt-pen5,0.8181818181818182,False
0.4523809523809524,0.4523809523809524,0.0,0,5,46,825,870,pelt-pen5,0.17391304347826086,True
0.42857142857142855,0.42857142857142855,0.0,0,8,59,905,963,pelt-pen5,0.0847457627118644,True
0.42953020134228187,0.42953020134228187,0.0,0,11,155,983,1137,pelt-pen5,0.2129032258064516,True
0.4166666666666667,0.4166666666666667,0.0,0,5,39,1187,1225,pelt-pen5,0.3333333333333333,True
0.46296296296296297,0.46296296296296297,0.0,1,6,58,1251,1308,pelt-pen5,0.8448275862068966,False
0.47692307692307695,0.47692307692307695,0.0,0,8,69,1310,1378,pelt-pen5,1.0,False
0.4351145038167939,0.4351145038167939,0.0,0,11,137,3334,3470,pelt-pen5,0.9854014598540146,False
0.5172413793103449,0.5172413793103449,0.0,0,5,32,30,61,pelt-pen8,0.09375,True
0.4,0.4,0.0,0,7,37,96,132,pelt-pen8,0.21621621621621623,True
0.46153846153846156,0.46153846153846156,0.0,0,4,29,135,163,pelt-pen8,0.0,True
0.3902439024390244,0.3902439024390244,0.0,0,4,45,390,434,pelt-pen8,0.2,True
0.41025641025641024,0.41025641025641024,0.0,0,4,43,578,620,pelt-pen8,0.37209302325581395,True
0.4897959183673469,0.4897959183673469,0.0,0,4,55,623,677,pelt-pen8,0.8181818181818182,False
0.4523809523809524,0.4523809523809524,0.0,0,5,46,825,870,pelt-pen8,0.17391304347826086,True
0.42857142857142855,0.42857142857142855,0.0,0,8,59,905,963,pelt-pen8,0.0847457627118644,True
0.42953020134228187,0.42953020134228187,0.0,0,11,155,983,1137,pelt-pen8,0.2129032258064516,True
0.4166666666666667,0.4166666666666667,0.0,0,5,39,1187,1225,pelt-pen8,0.3333333333333333,True
0.42592592592592593,0.42592592592592593,0.0,0,6,58,1251,1308,pelt-pen8,0.8448275862068966,False
0.47692307692307695,0.47692307692307695,0.0,0,8,69,1310,1378,pelt-pen8,1.0,False
0.4351145038167939,0.4351145038167939,0.0,0,11,137,3334,3470,pelt-pen8,0.9854014598540146,False
